shark_id,shark_name,species,ping_datetime,latitude,longitude,location_quality,tag_status
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-04 05:53:16,27.80311,-97.0509,medium,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-05 06:48:36,27.79313,-97.01172,high,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-06 09:29:00,27.76581,-96.98108,low,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-07 07:22:43,27.79425,-97.03817,medium,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-07 14:34:11,27.83186,-96.96445,high,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-07 18:30:56,27.81002,-97.01282,high,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-08 10:19:02,27.84389,-96.94888,low,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-09 18:07:58,27.88294,-96.92735,high,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-10 12:19:16,27.90423,-96.83901,high,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-10 12:55:46,27.87009,-96.84423,high,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-12 12:37:43,27.93404,-96.73974,low,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-13 17:28:35,27.95191,-96.72202,high,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-13 20:03:10,27.9391,-96.60496,medium,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-13 20:15:01,27.91022,-96.63678,medium,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-14 03:10:25,27.86046,-96.5704,medium,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-15 00:28:08,27.9276,-96.54386,high,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-15 15:01:56,27.95337,-96.43449,high,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-15 21:25:44,27.96197,-96.39317,low,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-18 12:43:42,28.02272,-96.32212,medium,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-20 08:10:13,28.05541,-96.32232,medium,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-20 13:54:36,28.04395,-96.2224,high,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-20 23:05:52,28.01618,-96.28959,high,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-22 02:57:49,28.02819,-96.2519,high,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-23 04:54:58,28.06021,-96.32013,high,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-23 05:05:20,28.00429,-96.33404,high,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-24 23:00:59,27.9805,-96.31696,high,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-25 10:36:30,28.01453,-96.22048,medium,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-26 03:31:59,27.98612,-96.20589,high,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-26 04:12:55,27.93838,-96.15409,high,active
SHK-001,Navigator Alpha,Scalloped Hammerhead,2026-01-27 12:13:43,27.93183,-96.06133,high,active
